,class,stained_cell_count,light_stain_count
0,class7,782,427
1,class3,6188,3321
2,class6,2785,1778
3,class6,4575,3105
4,class7,284,425
5,class6,2434,446
6,class2,584,104
7,class2,912,330
8,class7,14,335
9,class2,1923,181
10,class1,1254,6616
11,class1,3259,2733
12,class6,1867,793
13,class7,376,416
14,class6,1897,6375
15,class3,5768,2047
16,class7,67,232
17,class2,153,54
18,class6,2303,3909
19,class1,3481,1631
20,class6,2506,1564
21,class1,3727,4405
22,class5,1499,873
23,class5,2821,2205
24,class7,4,52
25,class7,7,104
26,class0,2396,4556
27,class6,2397,4063
28,class4,3162,24
29,class5,6498,1385
30,class3,4924,1874
31,class2,877,142
32,class1,3938,8078
33,class1,3135,1050
34,class6,4030,2139
35,class6,2055,3129
36,class1,3137,5481
37,class4,4761,1042
38,class0,4101,2559
39,class4,4892,1806
40,class6,2118,274
41,class3,3690,5858
42,class0,5308,1464
43,class1,1458,8970
44,class1,1843,6683
45,class5,2751,561
46,class3,4195,4123
47,class0,9600,1082
48,class3,8754,1852
49,class5,5131,665
50,class1,3273,1835
51,class7,449,4839
52,class4,5723,225
53,class4,3116,242
54,class1,1784,7152
55,class7,275,139
56,class6,2845,7302
57,class6,2507,2466
58,class2,789,189
59,class1,4276,5739
60,class6,2971,464
61,class4,4511,1028
62,class4,3916,1125
63,class3,4853,2395
64,class5,4558,774
65,class1,3747,2873
66,class3,7168,1434
67,class1,3681,3011
68,class1,4339,2981
69,class7,39,145
70,class1,3614,5005
71,class7,32,2332
72,class3,7912,4647
73,class3,6922,853
74,class1,3634,4406
75,class1,3764,5440
76,class5,4471,789
77,class3,0,0
78,class6,2923,3116
79,class0,4269,437
80,class6,2229,400
81,class0,6100,1370
82,class3,4011,467
83,class7,0,99
84,class3,4079,378
85,class3,3013,902
86,class0,6009,418
87,class1,3368,5053
88,class3,10647,2931
89,class4,2256,4569
90,class7,193,124
91,class1,1473,3179
92,class0,5568,1274
93,class6,2107,2528
94,class6,2414,2607
95,class7,96,60
96,class2,322,4230
97,class6,2796,1618
98,class3,3657,4319
99,class5,746,3777
100,class3,4805,1606
101,class6,2231,3713
102,class6,2012,767
103,class6,2731,1932
104,class5,3252,6306
105,class7,417,2247
106,class7,2,93
107,class3,3916,2591
108,class6,2968,468
109,class4,4708,127
110,class5,4721,938
111,class3,3326,7694
112,class0,4628,1546
113,class7,553,931
114,class1,3979,6564
115,class3,2414,1919
116,class1,2914,4699
117,class3,5635,1267
118,class7,22,1113
119,class6,3349,3346
120,class3,6881,1164
121,class4,3592,2484
122,class3,6030,1333
123,class1,2880,7157
124,class3,4994,8132
125,class7,55,71
126,class2,479,1024
127,class6,2692,247
128,class3,3029,5832
129,class3,3711,3249
130,class1,3785,7484
131,class6,1850,4950
132,class7,393,428
133,class7,65,497
134,class1,5089,2739
135,class5,2401,348
136,class3,4056,1573
137,class2,685,4066
138,class7,228,187
139,class1,3095,7414
140,class7,118,147
141,class1,3214,1016
142,class6,1682,164
143,class3,0,59
144,class6,2541,5326
145,class7,29,618
146,class6,1490,507
147,class2,1172,1915
148,class1,3951,3982
149,class2,4378,69
150,class5,4350,794
151,class7,37,215
